iter	Passed	Remaining
398	146218	220243
399	146629	219944
400	146939	219493
401	147259	219057
402	147616	218677
403	147856	218125
404	148167	217678
405	148433	217166
406	148809	216815
407	149124	216376
408	149491	216013
409	149853	215643
410	150203	215254
411	150548	214860
412	150965	214568
413	151310	214173
414	151663	213791
415	152039	213440
416	152392	213057
417	152749	212680
418	153111	212310
419	153441	211895
420	153857	211600
421	154200	211202
422	154536	210798
423	154881	210404
424	155212	209993
425	155614	209677
426	155936	209254
427	156350	208954
428	156735	208615
429	157176	208349
430	157504	207934
431	157917	207632
432	158189	207144
433	158600	206837
434	158992	206507
435	159309	206079
436	159677	205717
437	160038	205346
438	160367	204934
439	160785	204635
440	161117	204227
441	161501	203886
442	161863	203517
443	162218	203138
444	162456	202614
445	162798	202220
446	163184	201881
447	163525	201486
448	163925	201164
449	164315	200830
450	164778	200583
451	165132	200204
452	165456	199789
453	165745	199333
454	166108	198965
455	166440	198560
456	166681	198048
457	167072	197714
458	167375	197277
459	167801	196984
460	168438	196937
461	168769	196532
462	169138	196171
463	169463	195759
464	169867	195438
465	170118	194942
466	170480	194573
467	170884	194253
468	171228	193864
469	171606	193513
470	171943	193116
471	172283	192723
472	172667	192379
473	173008	191988
474	173396	191648
475	173864	191397
476	174235	191038
477	174686	190766
478	175137	190494
479	175462	190084
480	175802	189691
481	176194	189353
482	176588	189019
483	176996	188698
484	177409	188383
485	177846	188092
486	178205	187719
487	178512	187291
488	178869	186916
489	179220	186535
490	179609	186193
491	180057	185912
492	180467	185592
493	180834	185227
494	181209	184869
495	181584	184513
496	182031	184228
497	182416	183882
498	182666	183398
499	183059	183059
500	183385	182653
501	183731	182267
502	184174	181977
503	184532	181602
504	184874	181213
505	185273	180879
506	185712	180584
507	186190	180325
508	186610	180011
509	186954	179623
510	187279	179217
511	187638	178843
512	187933	178408
513	188309	178051
514	188715	177722
515	189113	177385
516	189448	176989
517	189869	176674
518	190303	176370
519	190803	176126
520	191212	175798
521	191610	175459
522	191973	175088
523	192366	174745
524	192758	174400
525	193216	174115
526	193660	173816
527	193993	173418
