iter	RMSE
0	93.96646896
1	88.97052578
2	84.95670657
3	81.65320729
4	78.9546052
5	76.85349178
6	74.70757418
7	73.04305689
8	71.68578438
9	70.0384368
10	69.01908127
11	68.19693823
12	66.99157965
13	65.26827403
14	64.26153856
15	63.13918757
16	61.51803935
17	60.8016971
18	59.45334769
19	58.84431685
20	58.21546249
21	57.52147561
22	56.98784673
23	56.31654643
24	55.64318678
25	55.30713395
26	54.44444549
27	53.98576603
28	53.66196624
29	52.72374812
30	52.36041791
31	52.01917285
32	51.52610307
33	51.11659567
34	50.81166526
35	50.41125143
36	49.82204121
37	49.39913713
38	49.12023155
39	48.84792067
40	48.67648282
41	48.41933131
42	47.81039372
43	47.52828498
44	47.30583593
45	46.9246201
46	46.5395845
47	46.10352011
48	45.88860531
49	45.59139073
50	45.16274654
51	44.96614948
52	44.77120694
53	44.61368895
54	44.4178537
55	44.24529615
56	44.02304963
57	43.76463592
58	43.39341214
59	43.17381414
60	42.90292321
61	42.6993829
62	42.48098914
63	42.30256144
64	42.08891101
65	41.82097571
66	41.71336494
67	41.59103941
68	41.25230706
69	41.03848642
70	40.85925623
71	40.58451786
72	40.46456864
73	40.33795912
74	40.13285219
75	39.97517879
76	39.77195685
77	39.6657393
78	39.4233829
79	39.27064623
80	39.09936885
81	39.03767233
82	38.91110779
83	38.86807405
84	38.71874075
85	38.58565488
86	38.36207163
87	38.15405923
88	38.06053919
89	37.89057922
90	37.67517096
91	37.46329547
92	37.35380262
93	37.27268577
94	36.95293506
95	36.84203551
96	36.69586425
97	36.59324331
98	36.4839521
99	36.43399061
100	36.18599815
101	35.90597337
102	35.79581071
103	35.6343659
104	35.35953168
105	35.23225814
106	35.06473372
107	34.97877817
108	34.88898893
109	34.80658316
110	34.57715899
111	34.52160431
112	34.36880612
113	34.23074826
114	34.03949692
115	33.93102341
116	33.84276309
117	33.76258596
118	33.64890704
119	33.49375174
120	33.40075217
121	33.32612572
122	33.21262516
123	33.07276601
124	32.99341958
125	32.92312492
126	32.85876419
127	32.6933
128	32.59098141
129	32.44834759
130	32.36553394
131	32.18195695
132	32.10048136
133	32.00669095
134	31.94354968
135	31.80218966
136	31.6900047
137	31.54767058
138	31.38777771
139	31.2825511
140	31.18566194
141	31.09554067
142	30.9914778
143	30.89059498
144	30.74576441
145	30.66416136
146	30.61004687
147	30.53964777
148	30.4059884
149	30.32464989
150	30.1994386
151	30.14222381
152	30.04670308
153	29.97426942
154	29.92204087
155	29.83939659
156	29.74713872
157	29.61379323
158	29.53396953
159	29.46061413
160	29.38950143
161	29.28941419
162	29.24534016
163	29.16274476
164	29.1149586
165	29.04824439
166	28.96973266
167	28.91970127
168	28.86346838
169	28.77659009
170	28.72409603
171	28.648464
172	28.55810292
173	28.51263375
174	28.45967521
175	28.36759864
176	28.25459821
177	28.20197682
178	28.12452075
179	28.01216612
180	27.97704298
181	27.87467214
182	27.81852906
183	27.71732226
184	27.67571867
185	27.63884144
186	27.62062679
187	27.57181142
188	27.49041716
189	27.46800913
190	27.42599291
191	27.37312263
192	27.29268933
193	27.25133395
194	27.10802907
195	27.09050457
196	27.03183133
197	26.90544055
198	26.72425726
199	26.68396407
200	26.64851119
201	26.60578016
202	26.53317916
203	26.48764112
204	26.39465253
205	26.37350719
206	26.28154493
207	26.23127678
208	26.18680032
209	26.15513569
210	26.12287829
211	25.98386687
212	25.90000612
213	25.85980332
214	25.83558967
215	25.787494
216	25.74227861
217	25.69574355
218	25.66974777
219	25.62162585
220	25.5567556
221	25.50717689
222	25.43426715
223	25.38118707
224	25.32711661
225	25.28286489
226	25.23666226
227	25.20201305
228	25.10161526
229	25.04962371
230	25.0127764
231	24.95301034
232	24.90464468
233	24.87594623
234	24.80012808
235	24.78258999
236	24.73354549
237	24.69731073
238	24.65102242
239	24.605741
240	24.57413097
241	24.52365499
242	24.42479066
243	24.34965423
244	24.29263626
245	24.17013203
246	24.13596165
247	24.04727623
248	23.99093718
249	23.94205542
250	23.89118133
251	23.83175586
252	23.80107575
253	23.7735377
254	23.74078109
255	23.7156265
256	23.70526485
257	23.67057285
258	23.61416326
259	23.5801804
260	23.52162969
261	23.45289728
262	23.43004109
263	23.39387381
264	23.34872096
265	23.32625781
266	23.24990075
267	23.20470324
268	23.16152462
269	23.13129881
270	23.10373083
271	23.05637037
272	22.99796824
273	22.95732207
274	22.95374764
275	22.90593287
276	22.86627857
277	22.84607888
278	22.81334491
279	22.77594777
280	22.75586836
281	22.75207952
282	22.71636494
283	22.66779422
284	22.61336571
285	22.57291036
286	22.52855987
287	22.48944358
288	22.43474473
289	22.37761269
290	22.32768219
291	22.28333052
292	22.2079197
293	22.15277996
294	22.09934314
295	22.04444983
296	22.01430929
297	21.99254169
298	21.93449697
299	21.88809362
300	21.85750484
301	21.80137824
302	21.77191796
303	21.73852291
304	21.67789296
305	21.6395158
306	21.59967496
307	21.54962836
308	21.50177808
309	21.47791452
310	21.39993509
311	21.36741125
312	21.33260055
313	21.28542914
314	21.24359451
315	21.21230876
316	21.19014723
317	21.18882634
318	21.15937532
319	21.10972943
320	21.0430411
321	20.96516223
322	20.91511618
323	20.85394558
324	20.80105272
325	20.76480034
326	20.71774724
327	20.69159512
328	20.64086506
329	20.59131222
330	20.57209827
331	20.5515646
332	20.50461764
333	20.46609214
334	20.42521876
335	20.38171438
336	20.35295264
337	20.33320776
338	20.30070064
339	20.25952928
340	20.23397594
341	20.21747455
342	20.15692171
343	20.07592159
344	20.05677377
345	20.00477453
346	19.97154675
347	19.94763925
348	19.93303632
349	19.85671236
350	19.7962818
351	19.75946979
352	19.73207867
353	19.70755237
354	19.7060679
355	19.66518979
356	19.61823305
357	19.58589914
358	19.53738164
359	19.5207265
360	19.50197227
361	19.44847438
362	19.41763297
363	19.37832149
364	19.34159387
365	19.3152509
366	19.26042718
367	19.21408498
368	19.17797594
369	19.16037929
370	19.12532909
371	19.07521546
372	19.05749009
373	19.03707252
374	19.0023951
375	18.95176026
376	18.91350109
377	18.88200709
378	18.84742521
379	18.79404997
380	18.76636284
381	18.73349398
382	18.7000025
383	18.66475578
384	18.62771874
385	18.60801046
386	18.6070386
387	18.58241087
388	18.55868669
389	18.5340028
390	18.52659841
391	18.49653388
392	18.46825023
393	18.45035556
394	18.43331028
395	18.40946267
396	18.36917616
397	18.3547852
398	18.31557775
399	18.26551778
400	18.24239029
401	18.22380827
402	18.19963823
403	18.19884142
404	18.1844241
405	18.17550568
406	18.13043811
407	18.10628768
408	18.08768038
409	18.03787386
410	17.97726603
411	17.94327319
412	17.89100257
413	17.85963217
414	17.83724658
415	17.81621102
416	17.77962368
417	17.76018493
418	17.72995924
419	17.70910164
420	17.68569694
421	17.65093966
422	17.6309891
423	17.58140633
424	17.57009588
425	17.52924067
426	17.51203925
427	17.45985692
428	17.43025232
429	17.38984781
430	17.36385583
431	17.33549921
432	17.33470316
433	17.30656213
434	17.27947128
435	17.26006362
436	17.20946143
